Id,Label,timeset,indegree,outdegree,degree,modularity_class
vitro,vitro,,2,0,2,0
desidratação,desidratação,,1,0,1,0
equino,equino,,2,0,2,0
tecido,tecido,,1,0,1,10
potássio,potássio,,1,0,1,4
utensílio,utensílio,,1,0,1,10
testículo,testículo,,4,0,4,1
agalactiae,agalactiae,,1,1,2,2
contagioso,contagioso,,1,1,2,2
metabólico,metabólico,,2,0,2,0
coliforme,coliforme,,3,0,3,2
vacar,vacar,,1,0,1,0
comer,comer,,1,0,1,4
aspersor,aspersor,,3,1,4,4
presença,presença,,1,0,1,2
corpo,corpo,,1,0,1,6
inflamatório,inflamatório,,1,0,1,6
compostagem,compostagem,,2,0,2,7
plântula,plântula,,3,0,3,9
globulina,globulina,,1,0,1,6
nlemfuensis,nlemfuensis,,3,0,3,11
micuim,micuim,,1,1,2,3
ovo,ovo,,1,0,1,11
rotativo,rotativo,,2,0,2,11
vento,vento,,1,0,1,11
ovino,ovino,,1,0,1,6
proliferação,proliferação,,1,0,1,11
capineiro,capineiro,,1,0,1,9
densidade,densidade,,1,0,1,9
fértil,fértil,,2,0,2,11
exame,exame,,1,0,1,3
sol,sol,,1,0,1,3
nutritivo,nutritivo,,1,0,1,11
cru,cru,,1,1,2,10
tanque,tanque,,2,0,2,9
tricros,tricros,,2,0,2,9
placa,placa,,1,0,1,9
"ácidos",ácidos,,1,0,1,11
corrente,corrente,,1,0,1,3
bicálcico,bicálcico,,1,0,1,9
enxofre,enxofre,,1,1,2,4
imunológico,imunológico,,1,0,1,10
inflamação,inflamação,,1,0,1,10
manganês,manganês,,1,0,1,4
desinfecção,desinfecção,,1,0,1,2
intramamária,intramamária,,1,0,1,2
médico,médico,,1,0,1,0
suficiente,suficiente,,1,0,1,4
arbóreo,arbóreo,,1,0,1,11
secar,secar,,1,0,1,5
humano,humano,,1,0,1,3
transgênico,transgênico,,2,0,2,1
subterrâneo,subterrâneo,,1,0,1,4
salinidade,salinidade,,2,0,2,4
salobrar,salobrar,,1,0,1,4
zebuína,zebuína,,1,0,1,1
obra,obra,,1,0,1,10
termômetro,termômetro,,1,0,1,0
maternidade,maternidade,,1,0,1,1
aquífero,aquífero,,1,0,1,4
somático,somático,,1,0,1,6
excreção,excreção,,1,0,1,4
estrôncio,estrôncio,,1,0,1,4
brizanthar,brizanthar,,1,0,1,11
infestar,infestar,,1,0,1,11
emagrecer,emagrecer,,1,0,1,1
diluir,diluir,,1,0,1,4
bulbo,bulbo,,1,0,1,0
aureu,aureu,,1,1,2,2
efeito,efeito,,1,0,1,11
cama,cama,,1,0,1,7
doente,doente,,1,0,1,3
fertilizante,fertilizante,,1,0,1,9
biomedicina,biomedicina,,1,0,1,3
sonda,sonda,,1,0,1,0
ruminal,ruminal,,1,0,1,7
laboratório,laboratório,,1,0,1,3
veranico,veranico,,1,0,1,11
irritação,irritação,,1,0,1,11
selênio,selênio,,1,0,1,4
butírico,butírico,,1,0,1,6
aquilinum,aquilinum,,1,0,1,11
decomposição,decomposição,,1,0,1,11
cooler,cooler,,1,0,1,2
brinco,brinco,,1,0,1,0
ruziziensil,ruziziensil,,1,0,1,11
raspar,raspar,,1,0,1,7
subclínico,subclínico,,1,0,1,2
"útero",útero,,1,0,1,1
mocho,mocho,,1,0,1,8
pesar,pesar,,1,0,1,1
0,leite,,8,1,9,10
1,carrapato,,2,4,6,3
2,aftosa,,0,1,1,3
3,sangue,,1,1,2,3
4,boi,,1,3,4,1
5,gado,,0,2,2,1
