,source,target
559,fotossensibilização,tóxico
560,açúcar,intestino
561,açúcar,ar
562,açúcar,febre
563,açúcar,graxo
564,açúcar,médico
565,açúcar,verminose
566,açúcar,partícula
567,açúcar,abrigo
568,açúcar,iodofórmio
569,açúcar,agudo
570,respiração,cru
571,respiração,cabeça
572,respiração,identificar
573,respiração,útil
574,respiração,precoce
575,respiração,hormônio
576,respiração,demora
577,respiração,marcação
578,respiração,vaginal
579,respiração,excreção
580,parte,larva
581,parte,tuberculose
582,parte,caixa
583,parte,fator
584,parte,substância
585,parte,estreptococo
586,parte,concreto
587,parte,cítrico
588,parte,portador
589,parte,barbela
590,máquina,operação
591,máquina,incidência
592,máquina,parasitose
593,máquina,casa
594,máquina,derivar
595,máquina,micuim
596,máquina,mucoso
597,máquina,cortar
598,máquina,coliforme
599,máquina,malha
600,cristalino,peletizado
601,cristalino,gordura
602,cristalino,balanço
603,cristalino,novilho
604,cristalino,gestação
605,cristalino,gestante
606,cristalino,demorar
607,cristalino,magro
608,cristalino,energético
609,cristalino,canaleta
610,maneira,reciclável
611,maneira,nebulização
612,maneira,tampão
613,maneira,cirurgia
614,maneira,cair
615,maneira,nuclear
616,maneira,usina
617,maneira,solubilidade
618,maneira,parâmetro
619,maneira,aquoso
620,osso,químico
621,osso,isolamento
622,osso,capineiro
623,osso,bicheira
624,osso,ciclo
625,osso,pasto
626,osso,ferimento
627,osso,regra
628,osso,cerca
629,osso,adubo
630,sativa,fitoterápico
631,sativa,sensibilidade
632,sativa,arraçoamento
633,sativa,raspagem
634,sativa,alto
635,sativa,seca
636,sativa,lateral
637,sativa,agente
638,sativa,exigência
639,sativa,fervente
640,arquitetura,afecção
641,arquitetura,análise
642,arquitetura,vegetação
643,arquitetura,anaeróbia
644,arquitetura,fenação
645,arquitetura,orgânico
646,arquitetura,guandu
647,arquitetura,inimigo
648,arquitetura,espermograma
649,arquitetura,preparar
650,crioscopia,genoma
651,crioscopia,descendente
652,crioscopia,objetivo
653,crioscopia,sexado
654,crioscopia,mãe
655,crioscopia,procurar
656,crioscopia,ectoparasita
657,crioscopia,chifre
658,crioscopia,sexo
659,crioscopia,libido
660,órgão,casca
661,órgão,ventilar
662,órgão,botijo
663,órgão,ventilação
664,órgão,diferir
665,órgão,montar
666,órgão,tampa
667,órgão,baia
668,órgão,tanques
669,órgão,térmico
670,raço,fêmeo
671,raço,tricros
672,raço,acasalar
673,raço,macho
674,raço,segregação
675,raço,mãe
676,raço,esperar
677,raço,animal
678,raço,descendente
679,raço,procurar
680,perder,magra
681,perder,tostar
682,perder,feto
683,perder,inseminador
684,perder,subnutrição
685,perder,uterino
686,perder,desmamar
687,perder,parir
688,perder,anestro
689,perder,estresse
690,íom,novilha
691,íom,cloro
692,íom,demanda
693,íom,congelar
694,íom,fósforar
695,íom,alta
696,íom,digestãar
697,íom,financeiro
698,íom,suplemento
699,íom,sintetizar
700,bebedouro,estábulo
701,bebedouro,pilha
702,bebedouro,aproveitar
703,bebedouro,fluido
704,bebedouro,baia
705,bebedouro,quente
706,bebedouro,portador
707,bebedouro,geada
708,bebedouro,cirurgia
709,bebedouro,aminar
710,cobre,magnésio
711,cobre,óxido
712,cobre,delgar
713,cobre,cobalto
714,cobre,congelar
715,cobre,detergente
716,cobre,manganês
717,cobre,tubulação
718,cobre,salinidade
719,cobre,língua
720,descornar,cavalo
721,descornar,abundante
722,descornar,lateral
723,descornar,gaiola
724,descornar,protozoário
725,descornar,administração
726,descornar,picar
727,descornar,ar
728,descornar,enfermidade
729,descornar,estaçãar
730,motivo,folicular
731,motivo,açúcar
732,motivo,ar
733,motivo,fermentação
734,motivo,deslocamento
735,motivo,vedação
736,motivo,infecção
737,motivo,abrigo
738,motivo,adocicar
739,motivo,picar
740,eficiente,guandu
741,eficiente,arborização
742,eficiente,pressãar
743,eficiente,coccidiose
744,eficiente,butírico
745,eficiente,orgânico
746,eficiente,herbáceo
747,eficiente,lei
748,eficiente,série
749,eficiente,isolamento
750,clínico,examinar
751,clínico,desinfecção
752,clínico,lavar
753,clínico,mourão
754,clínico,edema
755,clínico,casa
756,clínico,treinamento
757,clínico,plástico
758,clínico,fibroso
759,clínico,ave
760,intestino,açúcar
761,intestino,febre
762,intestino,médico
763,intestino,graxo
764,intestino,iodofórmio
765,intestino,partícula
766,intestino,ar
767,intestino,risco
768,intestino,verminose
769,intestino,tratamento
770,fase,prenhe
771,fase,adocicar
772,fase,concentração
773,fase,pico
774,fase,indesejável
775,fase,detergente
776,fase,deslocamento
777,fase,microbiano
778,fase,maternidade
779,fase,suplemento
780,lote,bezerro
781,lote,hormonal
782,lote,inalto
783,lote,balanço
784,lote,vacar
