id;label
salobrar;salobrar
zebuína;zebuína
obra;obra
termômetro;termômetro
maternidade;maternidade
aquífero;aquífero
somático;somático
excreção;excreção
estrôncio;estrôncio
brizanthar;brizanthar
infestar;infestar
emagrecer;emagrecer
diluir;diluir
bulbo;bulbo
aureu;aureu
efeito;efeito
cama;cama
doente;doente
fertilizante;fertilizante
biomedicina;biomedicina
sonda;sonda
ruminal;ruminal
laboratório;laboratório
veranico;veranico
irritação;irritação
selênio;selênio
butírico;butírico
aquilinum;aquilinum
decomposição;decomposição
cooler;cooler
brinco;brinco
ruziziensil;ruziziensil
raspar;raspar
subclínico;subclínico
útero;útero
mocho;mocho
pesar;pesar
