,0,1,2,3,4
grandeproteína,grande,proteína,12.20035171508789,22,20
grandedieta,grande,dieta,32.574429512023926,38,22
grandevolumoso,grande,volumoso,6.857421875,15,12
grandeconcentrar,grande,concentrar,3.59033203125,16,14
grandebasar,grande,basar,11.0,4,4
grandeseco,grande,seco,31.257090747356415,39,28
grandegordo,grande,gordo,26.0,3,2
granderisco,grande,risco,1.2782135009765625,18,18
grandepasto,grande,pasto,5.760167598724365,24,24
grandepiquete,grande,piquete,8.365350246429443,28,24
grandematernidade,grande,maternidade,32.0,2,2
grandelimpo,grande,limpo,28.5625,6,6
grandeinstalação,grande,instalação,5.955078125,12,12
grandeprincipal,grande,principal,20.961536407470703,20,20
grandeperder,grande,perder,13.899246215820312,24,22
grandebom,grande,bom,6.346374913920481,116,76
grandecorporal,grande,corporal,14.1875,29,12
grandemagro,grande,magro,24.25,4,4
grandeterço,grande,terço,4.8125,6,6
grandesuplementar,grande,suplementar,4.71875,8,8
grandebalança,grande,balança,52.0,2,2
fetovaca,feto,vaca,4.25,15,6
fetogestante,feto,gestante,3.0,3,2
fetolactação,feto,lactação,4.0,7,4
fetoseca,feto,seca,5.0,3,2
fetoprever,feto,prever,4.0,3,2
fetoparto,feto,parto,2.4375,9,6
fetoglândular,feto,glândular,2.0,3,2
fetomamário,feto,mamário,1.0,3,2
fetosobrevivência,feto,sobrevivência,1.0,5,4
fetonutricional,feto,nutricional,3.0,7,6
fetomineral,feto,mineral,13.0,7,6
fetovitamina,feto,vitamina,5.0,5,4
fetoteor,feto,teor,6.0,5,4
fetoproteína,feto,proteína,7.75,7,6
fetodieta,feto,dieta,13.25,7,6
fetovolumoso,feto,volumoso,11.25,10,6
fetoconcentrar,feto,concentrar,7.75,7,6
fetobasar,feto,basar,12.0,5,4
fetoseco,feto,seco,13.0,8,4
fetogordo,feto,gordo,15.0,8,4
fetorisco,feto,risco,5.5,7,6
fetopasto,feto,pasto,19.0,5,4
fetopiquete,feto,piquete,20.0,5,4
fetomaternidade,feto,maternidade,21.0,5,4
fetolimpo,feto,limpo,23.0,5,4
fetoinstalação,feto,instalação,24.0,5,4
fetoprincipal,feto,principal,25.0,5,4
fetoperder,feto,perder,30.0,5,4
fetobom,feto,bom,7.8125,11,8
fetocorporal,feto,corporal,33.0,8,4
fetomagro,feto,magro,13.25,9,6
fetoterço,feto,terço,36.0,5,4
fetosuplementar,feto,suplementar,39.0,5,4
fetobalança,feto,balança,41.0,5,4
vacagestante,vaca,gestante,6.118169783148915,54,44
vacalactação,vaca,lactação,1.011718973692041,384,210
vacaseca,vaca,seca,3.840087890625,30,16
vacaprever,vaca,prever,4.0,14,6
vacaparto,vaca,parto,1.5273437500181828,230,116
vacaglândular,vaca,glândular,2.00390625,30,12
vacamamário,vaca,mamário,6.494995966553688,60,34
vacasobrevivência,vaca,sobrevivência,9.0,10,2
vacanutricional,vaca,nutricional,16.74999336433575,52,42
vacamineral,vaca,mineral,9.160637378692627,42,26
vacavitamina,vaca,vitamina,7.937805220484734,40,28
vacateor,vaca,teor,1.296875,36,22
vacaproteína,vaca,proteína,11.378816042703875,50,42
vacadieta,vaca,dieta,6.625106218971268,138,70
